entry_time,exit_time,model,direction,tag,risk_ticks,raw_r,spread_cost_points,primary_r,stress_r,reason,year,period,session,hour,weekday,model_direction,md_session,md_weekday,risk_quartile
2021-01-29 10:35:00,2021-01-29 10:36:00,sweep,long,sweep_pdl_long,68.80000000000291,-1.0036337209302324,0.2,-1.0152616279069762,-1.0268895348837197,stop,2021,DEV,MORNING_1030_1200,10,Friday,sweep__long,sweep__long__MORNING_1030_1200,sweep__long__Friday,Q4_WIDE
2021-01-29 12:24:00,2021-01-29 12:24:00,vwap_rev,long,vwap_rev_long,40.19999999999709,-1.0062189054726374,0.2,-1.0261194029850766,-1.046019900497516,stop,2021,DEV,LUNCH_1200_1330,12,Friday,vwap_rev__long,vwap_rev__long__LUNCH_1200_1330,vwap_rev__long__Friday,Q1_TIGHT
2021-01-29 13:31:00,2021-01-29 13:31:00,pm_mom,long,pm_mom_long,61.19999999999709,-1.0040849673202616,0.2,-1.0171568627450989,-1.030228758169936,stop,2021,DEV,PM_1330_1500,13,Friday,pm_mom__long,pm_mom__long__PM_1330_1500,pm_mom__long__Friday,Q4_WIDE
2021-01-29 14:47:00,2021-01-29 14:49:00,ou_rev,long,ou_rev_long,58.599999999998545,0.75341296928332,0.2,0.7397610921502139,0.7261092150171078,trail,2021,DEV,PM_1330_1500,14,Friday,ou_rev__long,ou_rev__long__PM_1330_1500,ou_rev__long__Friday,Q4_WIDE
2021-01-29 14:57:00,2021-01-29 14:58:00,ou_rev,long,ou_rev_long,79.40000000000146,-0.003148614609571731,0.2,-0.01322418136020127,-0.02329974811083081,trail,2021,DEV,PM_1330_1500,14,Friday,ou_rev__long,ou_rev__long__PM_1330_1500,ou_rev__long__Friday,Q4_WIDE
2021-02-01 10:46:00,2021-02-01 10:50:00,or_rev,short,or_rev_short,51.599999999998545,-1.0048449612403103,0.2,-1.020348837209303,-1.0358527131782957,stop,2021,DEV,MORNING_1030_1200,10,Monday,or_rev__short,or_rev__short__MORNING_1030_1200,or_rev__short__Monday,Q3
2021-02-01 10:58:00,2021-02-01 11:00:00,kalman_mom,short,kalman_mom_short,48.400000000001455,-1.0051652892561982,0.2,-1.0216942148760324,-1.0382231404958666,stop,2021,DEV,MORNING_1030_1200,10,Monday,kalman_mom__short,kalman_mom__short__MORNING_1030_1200,kalman_mom__short__Monday,Q3
2021-02-01 11:33:00,2021-02-01 11:34:00,vwap_rev,short,vwap_rev_short,41.599999999998545,-1.0060096153846156,0.2,-1.0252403846153855,-1.0444711538461555,stop,2021,DEV,MORNING_1030_1200,11,Monday,vwap_rev__short,vwap_rev__short__MORNING_1030_1200,vwap_rev__short__Monday,Q1_TIGHT
2021-02-01 11:37:00,2021-02-01 11:41:00,vwap_rev,short,vwap_rev_short,44.0,-1.0056818181818181,0.2,-1.0238636363636362,-1.0420454545454545,stop,2021,DEV,MORNING_1030_1200,11,Monday,vwap_rev__short,vwap_rev__short__MORNING_1030_1200,vwap_rev__short__Monday,Q1_TIGHT
2021-02-01 13:37:00,2021-02-01 13:38:00,ou_rev,short,ou_rev_short,49.599999999998545,1.3336693548387781,0.2,1.3175403225807132,1.3014112903226482,trail,2021,DEV,PM_1330_1500,13,Monday,ou_rev__short,ou_rev__short__PM_1330_1500,ou_rev__short__Monday,Q3
2021-02-01 14:58:00,2021-02-01 15:01:00,pm_mom,short,pm_mom_short,44.400000000001455,-1.0056306306306304,0.2,-1.0236486486486478,-1.0416666666666652,stop,2021,DEV,PM_1330_1500,14,Monday,pm_mom__short,pm_mom__short__PM_1330_1500,pm_mom__short__Monday,Q2
2021-02-03 10:22:00,2021-02-03 10:23:00,ou_rev,long,ou_rev_long,64.59999999999854,-1.0038699690402477,0.2,-1.0162538699690407,-1.0286377708978334,stop,2021,DEV,OPEN_0930_1030,10,Wednesday,ou_rev__long,ou_rev__long__OPEN_0930_1030,ou_rev__long__Wednesday,Q4_WIDE
2021-02-03 10:25:00,2021-02-03 10:26:00,or_rev,long,or_rev_long,54.80000000000291,-0.004562043795620196,0.2,-0.019160583941604824,-0.03375912408758945,trail,2021,DEV,OPEN_0930_1030,10,Wednesday,or_rev__long,or_rev__long__OPEN_0930_1030,or_rev__long__Wednesday,Q3
2021-02-05 10:02:00,2021-02-05 10:03:00,or_rev,long,or_rev_long,53.19999999999709,-1.004699248120301,0.2,-1.0197368421052642,-1.0347744360902273,stop,2021,DEV,OPEN_0930_1030,10,Friday,or_rev__long,or_rev__long__OPEN_0930_1030,or_rev__long__Friday,Q3
2021-02-05 10:05:00,2021-02-05 10:07:00,ou_rev,long,ou_rev_long,52.0,1.3028846153846154,0.2,1.2875,1.2721153846153848,trail,2021,DEV,OPEN_0930_1030,10,Friday,ou_rev__long,ou_rev__long__OPEN_0930_1030,ou_rev__long__Friday,Q3
2021-02-05 10:22:00,2021-02-05 10:23:00,ou_rev,long,ou_rev_long,44.80000000000291,-1.0055803571428568,0.2,-1.0234374999999984,-1.0412946428571401,stop,2021,DEV,OPEN_0930_1030,10,Friday,ou_rev__long,ou_rev__long__OPEN_0930_1030,ou_rev__long__Friday,Q2
2021-02-08 11:39:00,2021-02-08 11:42:00,vwap_rev,long,vwap_rev_long,50.0,-1.005,0.2,-1.021,-1.037,stop,2021,DEV,MORNING_1030_1200,11,Monday,vwap_rev__long,vwap_rev__long__MORNING_1030_1200,vwap_rev__long__Monday,Q3
2021-02-09 10:03:00,2021-02-09 10:15:00,trend,long,trend_cont_long,69.19999999999709,0.600433526011628,0.2,0.5888728323700091,0.57731213872839,trail,2021,DEV,OPEN_0930_1030,10,Tuesday,trend__long,trend__long__OPEN_0930_1030,trend__long__Tuesday,Q4_WIDE
2021-02-10 09:51:00,2021-02-10 09:52:00,open_drive,long,open_drive_long,47.19999999999709,-1.0052966101694918,0.2,-1.0222457627118657,-1.0391949152542397,stop,2021,DEV,OPEN_0930_1030,9,Wednesday,open_drive__long,open_drive__long__OPEN_0930_1030,open_drive__long__Wednesday,Q2
2021-02-10 10:00:00,2021-02-10 10:09:00,open_drive,long,open_drive_long,49.19999999999709,-0.005081300813008431,0.2,-0.02134146341463541,-0.037601626016262386,trail,2021,DEV,OPEN_0930_1030,10,Wednesday,open_drive__long,open_drive__long__OPEN_0930_1030,open_drive__long__Wednesday,Q3
