dt,date,contract,segment,open,high,low,close,volume
2021-06-18 07:30:00,2021-06-18,MNQ 09-21,9,14157.5,14160.0,14141.5,14145.75,3585.0
2021-06-18 07:45:00,2021-06-18,MNQ 09-21,9,14145.75,14162.0,14134.75,14155.75,5276.0
2021-06-18 08:00:00,2021-06-18,MNQ 09-21,9,14155.5,14158.5,14103.75,14106.25,13930.0
2021-06-18 08:15:00,2021-06-18,MNQ 09-21,9,14105.75,14115.5,14051.25,14075.0,30753.0
2021-06-21 03:00:00,2021-06-21,MNQ 09-21,9,14055.5,14063.5,14042.75,14046.75,6444.0
2021-06-21 03:15:00,2021-06-21,MNQ 09-21,9,14047.25,14053.75,14038.25,14038.25,5234.0
2021-06-21 03:30:00,2021-06-21,MNQ 09-21,9,14038.25,14077.5,14037.5,14076.0,6817.0
2021-06-21 03:45:00,2021-06-21,MNQ 09-21,9,14076.5,14113.25,14076.0,14093.5,8566.0
2021-06-21 04:00:00,2021-06-21,MNQ 09-21,9,14093.0,14096.75,14070.25,14073.75,5055.0
2021-06-21 04:15:00,2021-06-21,MNQ 09-21,9,14073.75,14090.0,14066.25,14079.5,4468.0
2021-06-21 04:30:00,2021-06-21,MNQ 09-21,9,14080.0,14102.75,14076.75,14098.75,3879.0
2021-06-21 04:45:00,2021-06-21,MNQ 09-21,9,14098.25,14105.25,14093.5,14098.25,3954.0
2021-06-21 05:00:00,2021-06-21,MNQ 09-21,9,14098.75,14114.5,14095.25,14112.75,3277.0
2021-06-21 05:15:00,2021-06-21,MNQ 09-21,9,14112.75,14126.75,14106.75,14123.0,4906.0
2021-06-21 05:30:00,2021-06-21,MNQ 09-21,9,14122.75,14124.25,14110.75,14115.25,3046.0
2021-06-21 05:45:00,2021-06-21,MNQ 09-21,9,14115.75,14125.5,14109.75,14110.5,2555.0
2021-06-21 06:00:00,2021-06-21,MNQ 09-21,9,14110.5,14115.25,14103.5,14106.0,2480.0
2021-06-21 06:15:00,2021-06-21,MNQ 09-21,9,14106.0,14107.5,14094.5,14101.5,3280.0
2021-06-21 06:30:00,2021-06-21,MNQ 09-21,9,14101.5,14108.75,14093.25,14106.25,2613.0
2021-06-21 06:45:00,2021-06-21,MNQ 09-21,9,14106.5,14108.25,14094.25,14098.5,1892.0
2021-06-21 07:00:00,2021-06-21,MNQ 09-21,9,14099.0,14107.25,14084.0,14086.0,3346.0
2021-06-21 07:15:00,2021-06-21,MNQ 09-21,9,14086.0,14089.75,14075.5,14081.25,3693.0
2021-06-21 07:30:00,2021-06-21,MNQ 09-21,9,14080.75,14084.5,14067.75,14071.25,4237.0
2021-06-21 07:45:00,2021-06-21,MNQ 09-21,9,14071.25,14082.0,14061.75,14078.75,5865.0
2021-06-21 08:00:00,2021-06-21,MNQ 09-21,9,14078.75,14079.75,14060.0,14062.75,6334.0
2021-06-21 08:15:00,2021-06-21,MNQ 09-21,9,14062.75,14076.75,14057.25,14057.75,7833.0
2021-06-22 03:00:00,2021-06-22,MNQ 09-21,9,14123.5,14125.0,14110.75,14112.5,4384.0
2021-06-22 03:15:00,2021-06-22,MNQ 09-21,9,14113.25,14116.0,14105.25,14112.75,3887.0
2021-06-22 03:30:00,2021-06-22,MNQ 09-21,9,14112.5,14118.75,14100.75,14102.25,3580.0
2021-06-22 03:45:00,2021-06-22,MNQ 09-21,9,14102.75,14103.25,14066.25,14073.5,9043.0
2021-06-22 04:00:00,2021-06-22,MNQ 09-21,9,14073.25,14090.75,14070.25,14086.0,4345.0
2021-06-22 04:15:00,2021-06-22,MNQ 09-21,9,14086.25,14089.75,14076.5,14084.75,2234.0
2021-06-22 04:30:00,2021-06-22,MNQ 09-21,9,14084.75,14089.25,14078.75,14086.25,1542.0
2021-06-22 04:45:00,2021-06-22,MNQ 09-21,9,14086.25,14088.0,14079.0,14084.5,1375.0
2021-06-22 05:00:00,2021-06-22,MNQ 09-21,9,14084.25,14101.5,14083.75,14101.0,2442.0
2021-06-22 05:15:00,2021-06-22,MNQ 09-21,9,14100.25,14115.75,14100.25,14109.0,3128.0
2021-06-22 05:30:00,2021-06-22,MNQ 09-21,9,14109.25,14113.25,14096.75,14101.5,2640.0
2021-06-22 05:45:00,2021-06-22,MNQ 09-21,9,14102.0,14111.0,14100.75,14107.25,1761.0
2021-06-22 06:00:00,2021-06-22,MNQ 09-21,9,14107.5,14131.25,14104.75,14123.75,3838.0
2021-06-22 06:15:00,2021-06-22,MNQ 09-21,9,14123.5,14125.75,14114.0,14121.5,2128.0
2021-06-22 06:30:00,2021-06-22,MNQ 09-21,9,14121.0,14131.5,14120.25,14130.25,2023.0
2021-06-22 06:45:00,2021-06-22,MNQ 09-21,9,14130.0,14143.75,14129.5,14139.5,3876.0
2021-06-22 07:00:00,2021-06-22,MNQ 09-21,9,14139.25,14169.75,14137.75,14162.5,6922.0
2021-06-22 07:15:00,2021-06-22,MNQ 09-21,9,14162.75,14167.5,14157.0,14164.25,2876.0
2021-06-22 07:30:00,2021-06-22,MNQ 09-21,9,14164.5,14178.25,14163.0,14168.75,3818.0
2021-06-22 07:45:00,2021-06-22,MNQ 09-21,9,14168.75,14173.75,14165.5,14168.0,2051.0
2021-06-22 08:00:00,2021-06-22,MNQ 09-21,9,14168.25,14177.25,14164.5,14166.75,4495.0
2021-06-22 08:15:00,2021-06-22,MNQ 09-21,9,14167.0,14169.25,14147.5,14151.5,6880.0
2021-06-23 03:00:00,2021-06-23,MNQ 09-21,9,14291.25,14297.5,14283.25,14285.0,3487.0
2021-06-23 03:15:00,2021-06-23,MNQ 09-21,9,14284.25,14284.5,14266.5,14268.5,4295.0
2021-06-23 03:30:00,2021-06-23,MNQ 09-21,9,14268.25,14273.25,14261.5,14268.75,3317.0
2021-06-23 03:45:00,2021-06-23,MNQ 09-21,9,14268.5,14270.75,14260.25,14269.75,2066.0
2021-06-23 04:00:00,2021-06-23,MNQ 09-21,9,14269.5,14275.0,14264.25,14269.25,2508.0
2021-06-23 04:15:00,2021-06-23,MNQ 09-21,9,14269.5,14275.25,14268.5,14270.0,1437.0
2021-06-23 04:30:00,2021-06-23,MNQ 09-21,9,14270.25,14274.25,14263.25,14270.0,1671.0
2021-06-23 04:45:00,2021-06-23,MNQ 09-21,9,14269.75,14272.75,14257.25,14265.0,1774.0
2021-06-23 05:00:00,2021-06-23,MNQ 09-21,9,14265.0,14266.25,14251.5,14264.0,2881.0
2021-06-23 05:15:00,2021-06-23,MNQ 09-21,9,14264.5,14270.75,14257.5,14264.0,2380.0
2021-06-23 05:30:00,2021-06-23,MNQ 09-21,9,14263.5,14268.5,14261.75,14264.5,1829.0
2021-06-23 05:45:00,2021-06-23,MNQ 09-21,9,14264.25,14273.0,14264.25,14265.5,1639.0
2021-06-23 06:00:00,2021-06-23,MNQ 09-21,9,14265.75,14268.0,14258.75,14266.75,1916.0
2021-06-23 06:15:00,2021-06-23,MNQ 09-21,9,14267.0,14280.75,14264.75,14278.25,2700.0
2021-06-23 06:30:00,2021-06-23,MNQ 09-21,9,14278.25,14280.5,14271.75,14274.75,1620.0
2021-06-23 06:45:00,2021-06-23,MNQ 09-21,9,14274.75,14278.25,14266.25,14267.5,1914.0
