scenario,target_r,transition,from_session,to_session,trades,mean_net_R,sum_net_R,pf_net,tp_pct,positive_years,active_years
S10_C6,1.0,doz_activation_to_contact,NY_AM,LONDON,19,0.32580616942036295,6.190317218986896,1.997304512199084,68.42105263157895,7,11
S10_C6,1.0,doz_activation_to_contact,NY_AM,NY_AM,33,0.1753936497092173,5.7879904404041715,1.4272609416419832,60.60606060606061,8,14
S10_C6,1.0,doz_activation_to_contact,NY_AM,NY_PM,21,0.16993985662468503,3.5687369891183858,1.4307649320415785,57.14285714285714,5,13
S10_C6,1.0,doz_activation_to_contact,NY_AM,TRANSITION,5,-0.1659051855330763,-0.8295259276653815,0.5941525930543872,20.0,3,4
S10_C6,1.0,doz_activation_to_contact,NY_PM,ASIA_CME,17,-0.021093540230730925,-0.3585901839224257,0.9551722220829004,47.05882352941176,4,10
S10_C6,1.0,doz_activation_to_contact,NY_PM,LONDON,11,0.31040380524893063,3.414441857738237,2.036654705898834,63.63636363636363,6,10
S10_C6,1.0,doz_activation_to_contact,NY_PM,NY_AM,14,0.5410140450263905,7.5741966303694666,3.4656319435293303,78.57142857142857,7,9
S10_C6,1.0,doz_activation_to_contact,NY_PM,TRANSITION,1,-0.677435465092298,-0.677435465092298,0.0,0.0,0,1
S10_C6,1.0,doz_activation_to_contact,TRANSITION,ASIA_CME,7,0.5157654798160735,3.6103583587125145,4.498898877609988,57.14285714285714,5,6
S10_C6,1.0,doz_activation_to_contact,TRANSITION,NY_AM,4,0.45363702877606227,1.814548115104249,2.7634359579098766,75.0,2,3
S10_C6,1.0,doz_activation_to_contact,TRANSITION,NY_PM,1,-0.5466778805718877,-0.5466778805718877,0.0,0.0,0,1
S10_C6,1.0,doz_activation_to_contact,TRANSITION,TRANSITION,1,0.9591558883594296,0.9591558883594296,inf,100.0,1,1
S10_C6,1.0,doz_activation_to_entry,ASIA_CME,ASIA_CME,21,0.5103705367353452,10.717781271442249,3.7862461638803606,71.42857142857143,10,12
S10_C6,1.0,doz_activation_to_entry,ASIA_CME,LONDON,21,0.1866939272121588,3.9205724714553347,1.4652817959689945,61.904761904761905,5,11
S10_C6,1.0,doz_activation_to_entry,ASIA_CME,NY_AM,25,0.1576487122394465,3.9412178059861622,1.3747241070529261,60.0,7,11
S10_C6,1.0,doz_activation_to_entry,ASIA_CME,NY_PM,5,-0.22998787142409483,-1.1499393571204741,0.6288391147827869,40.0,2,5
S10_C6,1.0,doz_activation_to_entry,LONDON,ASIA_CME,9,0.361375478657233,3.2523793079150973,2.515829465243585,55.55555555555556,4,6
S10_C6,1.0,doz_activation_to_entry,LONDON,LONDON,10,0.25534134316341695,2.5534134316341692,1.8142906615084124,50.0,4,7
S10_C6,1.0,doz_activation_to_entry,LONDON,NY_AM,40,0.4071607241128449,16.286428964513796,2.4331075873440993,72.5,11,14
S10_C6,1.0,doz_activation_to_entry,LONDON,NY_PM,12,0.43772798246688144,5.2527357896025775,3.1370525080962217,66.66666666666666,5,8
