scenario,target_r,left_out_year,trades,mean_net_R,sum_net_R,pf_net
S18_C9_STRESS,1.0,2021,286,0.1652870024606328,47.27208270374098,1.4389440027658402
S18_C9_STRESS,1.0,2022,287,0.17520237428696525,50.283081420359025,1.4714484622406985
S18_C9_STRESS,1.0,2023,287,0.15960665525533846,45.807110058282134,1.4195178187563822
S18_C9_STRESS,1.0,2024,287,0.1609570256228161,46.194666353748225,1.424919835917576
S18_C9_STRESS,1.0,2025,287,0.13900399394635912,39.89414626260507,1.356441770194504
S18_C9_STRESS,1.5,2011,288,0.1757666651160048,50.620799553409384,1.3752843809976338
S18_C9_STRESS,1.5,2012,290,0.15441321873381816,44.779833432807266,1.3244705122619858
S18_C9_STRESS,1.5,2013,287,0.17982276816059314,51.60913446209023,1.3837464328366
S18_C9_STRESS,1.5,2014,281,0.16946438457385743,47.61949206525394,1.3547583905225462
S18_C9_STRESS,1.5,2015,277,0.21725914551495287,60.180783307641946,1.4768942141433907
S18_C9_STRESS,1.5,2016,282,0.19290203326078975,54.39837337954271,1.4167938903273143
S18_C9_STRESS,1.5,2017,277,0.19050246430708478,52.76918261306248,1.4039622114717898
S18_C9_STRESS,1.5,2018,268,0.19123499817653078,51.25097951131025,1.4111141508456893
S18_C9_STRESS,1.5,2019,283,0.22594301045946338,63.94187196002814,1.5031512833253313
S18_C9_STRESS,1.5,2020,289,0.1843811399680358,53.286149450762345,1.3939954118888467
S18_C9_STRESS,1.5,2021,286,0.19572579100134097,55.97757622638352,1.424821830420909
S18_C9_STRESS,1.5,2022,287,0.21055022811856033,60.42791547002682,1.4661546215170298
S18_C9_STRESS,1.5,2023,287,0.1977564622039489,56.75610465253334,1.4304232488173436
S18_C9_STRESS,1.5,2024,287,0.18572340702465018,53.3026178160746,1.401393552453979
S18_C9_STRESS,1.5,2025,287,0.17435184777795357,50.03898031227268,1.3735444227684628
S18_C9_STRESS,2.0,2011,288,0.19032294650970416,54.8130085947948,1.377648080353817
S18_C9_STRESS,2.0,2012,290,0.17909788496293283,51.938386639250524,1.354561903089679
