date,open,high,low,close,bars,last_min,sma200,atr14,prior_close,prior_sma200,prior_atr14
2004-07-08,30.4955,30.768,30.2741,30.2911,78,955,30.5549975,0.4945347350536875,30.7254,30.548985500000004,0.4945835608270481
2004-07-09,30.5211,30.6888,30.3422,30.4785,78,955,30.5593585,0.48761796826413845,30.2911,30.5549975,0.4945347350536875
2004-07-12,30.2911,30.3933,30.0101,30.3158,78,955,30.563668000000003,0.4862452562452714,30.4785,30.5593585,0.48761796826413845
2004-07-13,30.3848,30.4955,30.1719,30.2571,78,955,30.570450500000003,0.47462773794203766,30.3158,30.563668000000003,0.4862452562452714
2004-07-14,29.976,30.3593,29.8483,29.9846,78,955,30.5736615,0.47722575666046374,30.2571,30.570450500000003,0.47462773794203766
2004-07-15,30.0782,30.223,29.8909,29.9675,78,955,30.5815495,0.4668596311847164,29.9846,30.5736615,0.47722575666046374
2004-07-16,30.1702,30.1889,29.4991,29.5332,78,955,30.5888455,0.4827839432429511,29.9675,30.5815495,0.4668596311847164
2004-07-19,29.6184,29.7802,29.3544,29.5766,78,955,30.5980565,0.4787136615827405,29.5332,30.5888455,0.4827839432429511
2004-07-20,29.5928,30.0527,29.5588,30.0305,78,955,30.6072815,0.4797984000411162,29.5766,30.5980565,0.4787136615827405
2004-07-21,30.2911,30.3593,29.3799,29.4055,78,955,30.6162375,0.515484228609608,30.0305,30.6072815,0.4797984000411162
2004-07-22,29.3629,29.8909,29.167,29.7717,78,955,30.624082999999995,0.5303710694232072,29.4055,30.6162375,0.515484228609608
2004-07-23,29.4906,29.5162,28.9797,29.0904,78,955,30.6281815,0.5490588501786923,29.7717,30.624082999999995,0.5303710694232072
2004-07-26,29.1585,29.3033,28.7583,29.0052,78,955,30.627785,0.5487689323087858,29.0904,30.6281815,0.5490588501786923
2004-07-27,29.1159,29.5588,29.0137,29.4395,78,955,30.6288195,0.5491140085724441,29.0052,30.627785,0.5487689323087858
2004-07-28,29.3033,29.4872,28.7923,29.2931,78,955,30.628142999999994,0.5595272936744125,29.4395,30.6288195,0.5491140085724441
