datetime,open,high,low,close,volume
2026-08-10 10:24:00,29845.0,29850.25,29827.0,29837.75,1504
2026-08-10 10:25:00,29838.75,29853.5,29814.75,29850.0,2084
2026-08-10 10:26:00,29849.5,29861.75,29838.25,29847.25,1638
2026-08-10 10:27:00,29846.75,29860.0,29842.75,29853.25,1009
2026-08-10 10:28:00,29852.0,29865.75,29843.0,29864.75,781
2026-08-10 10:29:00,29864.25,29869.5,29852.0,29858.25,878
2026-08-10 10:30:00,29857.5,29867.75,29851.25,29867.0,1037
2026-08-10 10:31:00,29866.0,29879.75,29861.75,29874.0,1108
2026-08-10 10:32:00,29875.0,29882.0,29871.5,29879.5,585
2026-08-10 10:33:00,29880.25,29880.5,29865.75,29867.0,606
2026-08-10 10:34:00,29867.0,29872.75,29850.0,29861.5,1268
2026-08-10 10:35:00,29860.5,29891.5,29860.0,29881.25,1183
2026-08-10 10:36:00,29882.0,29888.25,29880.25,29882.0,695
2026-08-10 10:37:00,29882.5,29892.25,29880.0,29889.75,811
2026-08-10 10:38:00,29889.5,29889.75,29851.75,29857.5,1256
2026-08-10 10:39:00,29856.5,29866.0,29846.75,29860.0,1181
2026-08-10 10:40:00,29859.75,29873.0,29855.0,29860.75,753
2026-08-10 10:41:00,29861.25,29872.5,29857.75,29866.75,619
2026-08-10 10:42:00,29866.5,29883.0,29863.0,29879.5,804
2026-08-10 10:43:00,29879.0,29880.25,29864.25,29875.5,614
2026-08-10 10:44:00,29875.0,29876.75,29857.0,29866.75,581
2026-08-10 10:45:00,29867.75,29886.0,29862.75,29884.5,1015
2026-08-10 10:46:00,29884.5,29885.25,29867.25,29875.0,717
2026-08-10 10:47:00,29874.25,29878.75,29867.0,29870.75,469
2026-08-10 10:48:00,29870.25,29876.5,29862.5,29872.5,457
2026-08-10 10:49:00,29871.5,29881.25,29867.25,29870.25,420
2026-08-10 10:50:00,29870.25,29877.25,29865.0,29867.0,405
2026-08-10 10:51:00,29866.5,29868.5,29842.75,29845.5,1048
2026-08-10 10:52:00,29844.75,29850.0,29827.25,29837.5,1129
2026-08-10 10:53:00,29837.25,29838.75,29807.25,29808.0,1456
2026-08-10 10:54:00,29808.75,29811.0,29794.75,29796.75,1590
2026-08-10 10:55:00,29795.0,29803.75,29787.0,29794.0,1473
2026-08-10 10:56:00,29794.25,29816.0,29791.5,29804.5,1254
2026-08-10 10:57:00,29803.5,29805.5,29785.75,29802.25,1066
2026-08-10 10:58:00,29801.5,29807.0,29788.5,29791.75,857
2026-08-10 10:59:00,29790.75,29800.75,29777.75,29780.75,1190
2026-08-10 11:00:00,29779.5,29792.0,29771.25,29777.75,1664
2026-08-10 11:01:00,29776.25,29807.0,29774.5,29802.75,1272
2026-08-10 11:02:00,29801.5,29811.5,29788.25,29800.0,1347
2026-08-10 11:03:00,29800.25,29808.5,29794.0,29798.75,935
2026-08-10 11:04:00,29801.0,29815.5,29797.25,29800.0,950
2026-08-10 11:05:00,29801.25,29812.25,29797.5,29810.0,782
2026-08-10 11:06:00,29810.25,29813.25,29792.75,29803.25,776
2026-08-10 11:07:00,29802.0,29822.5,29801.75,29815.25,912
2026-08-10 11:08:00,29815.25,29821.0,29797.0,29797.0,720
2026-08-10 11:09:00,29797.25,29798.75,29782.75,29784.25,874
2026-08-10 11:10:00,29782.75,29798.25,29779.0,29794.75,894
2026-08-10 11:11:00,29795.0,29807.0,29782.0,29782.5,713
2026-08-10 11:12:00,29783.0,29792.5,29766.0,29771.0,1213
2026-08-10 11:13:00,29771.0,29796.25,29769.0,29793.0,901
2026-08-10 11:14:00,29793.5,29801.25,29789.0,29793.25,628
2026-08-10 11:15:00,29792.75,29815.0,29791.0,29813.25,956
2026-08-10 11:16:00,29813.25,29817.25,29798.5,29801.75,797
2026-08-10 11:17:00,29801.5,29806.75,29793.75,29803.0,663
2026-08-10 11:18:00,29803.5,29805.75,29790.0,29793.75,696
2026-08-10 11:19:00,29794.5,29809.25,29790.75,29799.75,596
2026-08-10 11:20:00,29799.75,29809.0,29796.5,29796.5,557
2026-08-10 11:21:00,29796.25,29796.5,29785.25,29789.75,735
2026-08-10 11:22:00,29789.75,29791.0,29778.75,29782.25,684
2026-08-10 11:23:00,29783.0,29794.0,29775.25,29785.25,668
2026-08-10 11:24:00,29785.25,29787.5,29773.5,29784.0,546
2026-08-10 11:25:00,29784.5,29788.0,29760.5,29763.75,901
2026-08-10 11:26:00,29764.5,29768.5,29753.5,29764.5,976
2026-08-10 11:27:00,29764.75,29780.25,29758.0,29776.0,886
2026-08-10 11:28:00,29776.5,29784.25,29769.75,29779.75,642
2026-08-10 11:29:00,29778.75,29785.25,29775.5,29777.75,499
2026-08-10 11:30:00,29777.0,29787.75,29767.25,29772.25,898
2026-08-10 11:31:00,29773.25,29774.25,29757.0,29765.5,614
2026-08-10 11:32:00,29766.0,29766.0,29750.0,29761.0,614
2026-08-10 11:33:00,29761.0,29769.0,29758.0,29762.0,556
2026-08-10 11:34:00,29761.75,29763.5,29747.75,29750.75,625
2026-08-10 11:35:00,29750.75,29766.25,29740.75,29758.5,1323
2026-08-10 11:36:00,29757.75,29764.75,29752.0,29752.5,430
2026-08-10 11:37:00,29754.0,29762.75,29751.5,29761.75,389
2026-08-10 11:38:00,29762.0,29763.75,29752.25,29762.5,330
2026-08-10 11:39:00,29759.5,29770.0,29759.0,29761.75,496
2026-08-10 11:40:00,29761.25,29783.0,29753.0,29778.75,940
2026-08-10 11:41:00,29779.75,29786.0,29775.25,29785.0,679
2026-08-10 11:42:00,29786.0,29789.0,29780.75,29781.0,608
2026-08-10 11:43:00,29780.0,29796.5,29775.5,29796.25,704
2026-08-10 11:44:00,29797.0,29809.0,29795.0,29808.25,967
2026-08-10 11:45:00,29808.25,29818.0,29807.5,29811.75,948
2026-08-10 11:46:00,29812.0,29813.0,29800.75,29802.0,757
2026-08-10 11:47:00,29802.0,29812.0,29799.25,29801.0,509
2026-08-10 11:48:00,29801.5,29806.75,29792.25,29792.25,656
