direction,entry_time,exit_time,entry_price,exit_price,contracts,stop_points,pnl_per_contract,pnl,fees,exit_reason,days_in_trade,account_value,risk_dollars,risk_pct,account_value_entry,scenario
short,2026-02-04 11:30:00,2026-02-04 13:30:00,24889.0,24989.0,5,100.0,-2045.0,-10225.0,25.0,stop,1,1050350.0,10000.0,0.9428847559107087,1060575.0,STRESS
short,2026-02-05 10:10:00,2026-02-05 10:15:00,24550.0,24650.0,5,100.0,-2045.0,-10225.0,25.0,stop,1,1040125.0,10000.0,0.9520635978483363,1050350.0,STRESS
long,2026-02-06 10:05:00,2026-02-06 14:50:00,24984.0,25184.0,5,100.0,3955.0,19775.0,25.0,target,1,1059900.0,10000.0,0.9614229059007331,1040125.0,STRESS
long,2026-02-09 10:10:00,2026-02-10 14:35:00,25329.0,25229.0,5,100.0,-2045.0,-10225.0,25.0,stop,2,1049675.0,10000.0,0.9434852344560808,1059900.0,STRESS
short,2026-02-12 10:00:00,2026-02-12 10:30:00,25006.5,24806.5,5,100.0,3955.0,19775.0,25.0,target,1,1069450.0,10000.0,0.9526758282325483,1049675.0,STRESS
short,2026-02-12 10:35:00,2026-02-12 14:30:00,24846.0,24804.75,5,100.0,780.0,3900.0,25.0,eod_short,1,1073350.0,10000.0,0.9350600776099863,1069450.0,STRESS
long,2026-02-13 10:55:00,2026-02-13 14:10:00,24928.5,24828.5,5,100.0,-2045.0,-10225.0,25.0,stop,1,1063125.0,10000.0,0.9316625518237294,1073350.0,STRESS
short,2026-02-16 10:35:00,2026-02-16 11:55:00,24678.5,24747.25,5,100.0,-1420.0,-7100.0,25.0,eod_short,1,1056025.0,10000.0,0.940623162845385,1063125.0,STRESS
long,2026-02-17 12:35:00,2026-02-17 17:35:00,24815.75,24715.75,5,100.0,-2045.0,-10225.0,25.0,stop,2,1045800.0,10000.0,0.9469472787102579,1056025.0,STRESS
long,2026-02-18 10:00:00,2026-02-18 12:50:00,25099.75,24999.75,5,100.0,-2045.0,-10225.0,25.0,stop,1,1035575.0,10000.0,0.9562057754828839,1045800.0,STRESS
long,2026-02-19 10:20:00,2026-02-19 10:40:00,24956.5,24856.5,5,100.0,-2045.0,-10225.0,25.0,stop,1,1025350.0,10000.0,0.9656471042657461,1035575.0,STRESS
short,2026-02-19 12:20:00,2026-02-19 14:30:00,24763.0,24807.5,5,100.0,-935.0,-4675.0,25.0,eod_short,1,1020675.0,10000.0,0.975276734773492,1025350.0,STRESS
long,2026-02-20 10:00:00,2026-02-20 10:15:00,25127.0,25027.0,5,100.0,-2045.0,-10225.0,25.0,stop,1,1010450.0,10000.0,0.9797437969970852,1020675.0,STRESS
long,2026-02-20 10:45:00,2026-02-20 11:10:00,25127.0,25027.0,5,100.0,-2045.0,-10225.0,25.0,stop,1,1000225.0,10000.0,0.9896580731357315,1010450.0,STRESS
short,2026-02-23 10:00:00,2026-02-23 14:30:00,24738.75,24746.75,5,100.0,-205.0,-1025.0,25.0,eod_short,1,999200.0,10000.0,0.9997750506136118,1000225.0,STRESS
long,2026-02-24 10:05:00,2026-02-25 08:30:00,25031.0,25231.0,4,100.0,3955.0,15820.0,20.0,target,2,1015020.0,8000.0,0.8006405124099278,999200.0,STRESS
long,2026-02-25 13:00:00,2026-02-26 08:30:00,25361.75,25261.75,5,100.0,-2045.0,-10225.0,25.0,stop,2,1004795.0,10000.0,0.9852022620243936,1015020.0,STRESS
long,2026-02-27 10:00:00,2026-02-27 11:20:00,25017.25,24917.25,5,100.0,-2045.0,-10225.0,25.0,stop,1,994570.0,10000.0,0.9952278823043507,1004795.0,STRESS
