sample,entry_model,risk_rule,vol_floor_k,target_r,years,total_trades_primary,weighted_avg_gross_R_primary,weighted_avg_net_R_primary,annual_median_net_R_primary,positive_years_primary,median_annual_pf_primary,min_annual_net_R_primary,max_annual_net_R_primary,weighted_avg_net_R_spread010,weighted_avg_net_R_spread012,weighted_avg_net_R_stress,positive_years_stress,median_annual_pf_stress,gate_1,gate_2,gate_3,gate_4,gate_5,gate_6,gate_7,gate_8,survives_vantage_gate
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,0.25,1.5,15,755,0.14045886494300844,0.08276434747954257,0.0938185717340231,9,1.1808083387505317,-0.1490174570835146,0.4530534644189545,0.10026054419851177,0.07050260909391916,-0.008737906705852326,8,1.023866750777268,True,True,True,False,True,True,False,True,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,0.25,2.0,15,755,0.13913469488036984,0.08144017741690397,0.0952883115825353,10,1.1752863102398394,-0.2258860491586147,0.5423436465302128,0.11641494233980597,0.0655378968150544,-0.000614330997283871,7,0.93602534416393,True,True,True,True,True,True,False,False,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,0.5,2.0,15,755,0.10413988943478293,0.062066067481711326,0.0631258496102518,11,1.1020709904648218,-0.2556469585232485,0.5624368202747575,0.07496737206727949,0.05383053644481735,-0.0016340115040305453,10,1.0365808595060193,True,True,True,True,True,True,False,True,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,0.5,1.0,15,755,0.09496685901528938,0.052893037062217756,0.0670632541337652,9,1.149106118395491,-0.2125626365068897,0.4033791963030909,0.06710593251185153,0.046313219192432684,-0.012931662613520483,7,0.9354828846111976,True,True,True,False,True,True,False,False,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,0.75,1.5,15,755,0.08400730098262449,0.051187046515649974,0.0961287144473677,8,1.2014723652048809,-0.2480874533834521,0.482802141625774,0.052639774096361044,0.04833042679569595,0.006161147790821664,8,1.0132207647797316,True,True,True,False,True,True,True,True,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,0.5,1.5,15,755,0.09256879444868851,0.050494972495616894,0.0426016274392288,9,1.074758324035111,-0.235890771268858,0.5894257079309919,0.055384078032441886,0.047926802836017406,-0.006292633265580716,6,0.9126102542317416,True,True,True,False,True,True,False,False,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.50,0.5,3.0,15,755,0.09183602688842078,0.049762204935349136,0.0719465773304296,10,1.110041979990597,-0.2956311482849987,0.7157522847939811,0.06840147501831484,0.041933707906128374,0.00020065990511132213,7,0.991578679474528,True,True,True,True,True,True,True,False,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.25,0.25,1.0,15,755,0.1041375167731066,0.04644299930964075,0.0265124024522589,8,1.0562611622355589,-0.1124866777688397,0.2678648692719972,0.07353691848160746,0.04021182062319607,-0.03285152459109273,6,0.8128623338235315,True,True,True,False,True,True,False,False,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_0.75,0.75,2.5,15,755,0.06915393476115574,0.03633368029418125,0.0439353174275457,10,1.083213916645517,-0.3831593025691471,0.4838817518316692,0.04264799948814261,0.03037857196964002,-0.0009424012485777065,7,0.995871669878594,True,True,True,True,True,True,False,False,False
DOZ_OBJECTIVE_ONLY,TOUCH_NEXT_OPEN,VOL_FLOOR_1.00,1.0,2.5,15,755,0.060360869667398065,0.03379527697596431,0.0173485236223498,10,1.0286319856671866,-0.2447555351752601,0.4297188638869879,0.035199682302816566,0.02740188744424191,0.0006907517464658118,7,0.9933570537826202,True,True,True,True,True,True,True,False,False
